epoch,start_time,end_time,epoch_time_s,learning_rate,train_loss,train_dice_class_1,train_dice_class_2,val_loss,val_foreground_dice_mean,val_dice_class_1,val_dice_class_2
19,2026_06_23_12_38_16,2026_06_23_12_38_16,459.62124156951904,0.00018002000000000244,0.5180595517158508,0.3997349441051483,0.20170606672763824,0.8060675859451294,0.1656513810157776,0.22267122566699982,0.10863152146339417
20,2026_06_23_12_40_26,2026_06_23_12_40_26,129.63295674324036,0.0002,0.47070765495300293,0.33817702531814575,0.16175277531147003,,,,
21,2026_06_23_12_48_05,2026_06_23_12_48_05,459.18649649620056,0.0001999847695156393,0.5035207867622375,0.37809962034225464,0.1822173148393631,0.7977949380874634,0.20168152451515198,0.2524995505809784,0.15086357295513153
22,2026_06_23_12_50_15,2026_06_23_12_50_15,130.55152201652527,0.00019993908270190983,0.45251643657684326,0.3616892099380493,0.20668251812458038,,,,
23,2026_06_23_12_57_54,2026_06_23_12_57_54,459.0079665184021,0.00019986295347545785,0.45581451058387756,0.4031639099121094,0.22243715822696686,0.5642772316932678,0.32013434171676636,0.5484347343444824,0.0918339341878891
24,2026_06_23_13_00_04,2026_06_23_13_00_04,129.99746108055115,0.00019975640502598296,0.4712739586830139,0.40975791215896606,0.2246786504983902,,,,
25,2026_06_23_13_07_43,2026_06_23_13_07_44,459.0793137550354,0.0001996194698091753,0.4581029713153839,0.4208349585533142,0.23985888063907623,0.644586443901062,0.3294374644756317,0.5018175840377808,0.15705731511116028
26,2026_06_23_13_09_53,2026_06_23_13_09_53,129.99271869659424,0.0001994521895368279,0.48383912444114685,0.4291227161884308,0.24970994889736176,,,,
27,2026_06_23_13_17_32,2026_06_23_13_17_32,458.9628882408142,0.00019925461516413258,0.4498302638530731,0.4050321578979492,0.2378888726234436,0.6799130439758301,0.2956097722053528,0.32165369391441345,0.2695658802986145
28,2026_06_23_13_19_42,2026_06_23_13_19_42,129.3428406715393,0.00019902680687415756,0.4528440833091736,0.427863210439682,0.24698224663734436,,,,
29,2026_06_23_13_27_26,2026_06_23_13_27_26,464.0644645690918,0.00019876883405951443,0.4293891489505768,0.44304540753364563,0.27492228150367737,0.7155482769012451,0.19606135785579681,0.38074517250061035,0.011377506889402866
30,2026_06_23_13_29_36,2026_06_23_13_29_36,130.39700436592102,0.00019848077530122124,0.43781107664108276,0.41090261936187744,0.282004714012146,,,,
31,2026_06_23_13_37_27,2026_06_23_13_37_28,471.2624809741974,0.00019816271834476696,0.4581436216831207,0.43209171295166016,0.25749388337135315,0.7460489869117737,0.2346373349428177,0.2069910615682602,0.26228368282318115
32,2026_06_23_13_39_44,2026_06_23_13_39_44,136.79994249343872,0.00019781476007338142,0.47606903314590454,0.43861067295074463,0.28399622440338135,,,,
33,2026_06_23_13_47_34,2026_06_23_13_47_34,469.41059136390686,0.0001974370064785242,0.4504251480102539,0.4808591604232788,0.300284206867218,0.6651828289031982,0.311708003282547,0.44105657935142517,0.18235939741134644
